rank,scenario_id,scenario,bug_id,project,bug_number,bug_report_url,modified_class,sci_prefix,sci_postfix,few_prefix,few_postfix,sci_prefix_conf,sci_postfix_conf,few_prefix_conf,few_postfix_conf,sci_prefix_turns,sci_prefix_probes,sci_postfix_turns,sci_postfix_probes,buggy_class_in_evidence_store,prefix_probe_retrieved_buggy_class,manual_ground_truth,ground_truth_confidence,sci_prefix_verdict,sci_postfix_verdict,few_prefix_verdict,few_postfix_verdict,fix_summary,why_selected,key_talking_point,analysis_report,prefix_artifacts,postfix_artifacts
1,S1,"Prefix = Postfix, classification CORRECT (best case)",Chart_9,Chart,9,https://sourceforge.net/p/jfreechart/bugs/818,org.jfree.data.time.TimeSeries,Checking,Checking,Checking,Checking,1.0,1.0,0.9,1.0,2,1,1,0,True,True,Checking,High,correct,correct,correct,correct,"Predicate `endIndex < 0` widened to `(endIndex < 0) || (endIndex < startIndex)` so an empty computed range is detected before createCopy(int,int) is called.",Textbook best case: all 4 runs say Checking AND the prefix probe genuinely retrieved the buggy production class (TimeSeries.createCopy) — one of only 55/257 prefix loops where that happened.,The scientific loop working as designed: symptom -> hypothesis -> probe returns real production code -> observation confirms the guard -> conclusion.,analysis_v2/manual_analysis/bugs/01_S1_Chart_9.md,.dist/study/artifacts_v2/prefix/Chart_9_prefix/,.dist/study/artifacts_v2/postfix/Chart_9_postfix/
2,S1,"Prefix = Postfix, classification CORRECT (best case)",Lang_40,Lang,40,https://issues.apache.org/jira/browse/LANG-432,org.apache.commons.lang.StringUtils,Algorithm/Method,Algorithm/Method,Algorithm/Method,Algorithm/Method,1.0,1.0,0.9,1.0,2,1,1,0,True,True,Algorithm/Method,High,correct,correct,correct,correct,"`contains(str.toUpperCase(), searchStr.toUpperCase())` replaced by an explicit loop over `str.regionMatches(true, i, searchStr, 0, len)` (locale-independent case-insensitive search).",Best case for a NON-Checking type; all 4 runs agree on Algorithm/Method and the prefix probe retrieved StringUtils source.,"Shows the pipeline handles a procedural (algorithm replacement) defect, not only simple guards; the failing assertion message ('en: 0 ß SS') is itself the key observation.",analysis_v2/manual_analysis/bugs/02_S1_Lang_40.md,.dist/study/artifacts_v2/prefix/Lang_40_prefix/,.dist/study/artifacts_v2/postfix/Lang_40_postfix/
3,S2,"Prefix = Postfix, classification WRONG (consistent but wrong)",Chart_17,Chart,17,https://sourceforge.net/p/jfreechart/bugs/803,org.jfree.data.time.TimeSeries,Checking,Checking,Checking,Algorithm/Method,1.0,1.0,0.9,0.9,1,0,1,0,True,False,Algorithm/Method,High,incorrect,incorrect,incorrect,correct,"`clone()` no longer delegates to `createCopy(0, getItemCount()-1)`; it is reimplemented as `super.clone()` plus `ObjectUtilities.deepClone(this.data)`. The guard inside createCopy is untouched.",All scientific runs say Checking (conf 1.0) but the fix contains no predicate at all. The scientific postfix run had the diff in its prompt and still said Checking; few-shot postfix read the diff and corrected to Algorithm/Method.,"'Symptom-site bias': the label follows where the exception was thrown (a correct guard), not what the developer fixed. The scientific loop concluded at turn 1 with zero experiments in both modes.",analysis_v2/manual_analysis/bugs/03_S2_Chart_17.md,.dist/study/artifacts_v2/prefix/Chart_17_prefix/,.dist/study/artifacts_v2/postfix/Chart_17_postfix/
4,S2,"Prefix = Postfix, classification WRONG (consistent but wrong)",Math_90,Math,90,https://issues.apache.org/jira/browse/MATH-259,org.apache.commons.math.stat.Frequency,Checking,Checking,Checking,Interface/O-O Messages,1.0,1.0,0.9,0.9,1,0,1,0,True,False,Interface/O-O Messages,Medium-High,incorrect,incorrect,incorrect,correct,Deprecated `addValue(Object v)` now just casts and delegates: `addValue((Comparable<?>) v)`; a new public overload `addValue(Comparable<?> v)` carries the old body. No instanceof check is added.,"Both scientific runs label Checking (1.0) and predict an `instanceof Comparable` guard; the real fix is an API signature change, and the failing test EXPECTS ClassCastException, which the predicted guard would not throw. Few-shot postfix correctly said Interface.","Bug-report anchoring: the reporter wrote 'This could be fixed by checking that the object is Comparable' and that suggestion became the label, even in postfix where the diff and test contradicted it.",analysis_v2/manual_analysis/bugs/04_S2_Math_90.md,.dist/study/artifacts_v2/prefix/Math_90_prefix/,.dist/study/artifacts_v2/postfix/Math_90_postfix/
5,S3,"Drift: Prefix CORRECT, Postfix WRONG (oracle hurt)",Math_23,Math,23,https://issues.apache.org/jira/browse/MATH-855,org.apache.commons.math3.optimization.univariate.BrentOptimizer,Algorithm/Method,Assignment/Initialization,Algorithm/Method,Algorithm/Method,0.95,1.0,0.9,0.9,3,2,2,1,False,False,Algorithm/Method,High,correct,incorrect,correct,correct,"BrentOptimizer now tracks a `best` point across all iterations (`best = current` at start, `best = best(best, best(current, previous))` each step) and returns `best` at both termination points instead of comparing only the last two points.","Prefix scientific said Algorithm/Method (correct); postfix drifted to Assignment/Initialization because the diff introduces a new variable. Few-shot did NOT drift (Algorithm/Method both), so this drift is specific to the scientific run.","The oracle can HURT: the patch's surface syntax (a new variable plus assignments) pulled the label to Assignment/Initialization, although ODC explicitly says coordinated multi-site assignment changes are Algorithm/Method.",analysis_v2/manual_analysis/bugs/05_S3_Math_23.md,.dist/study/artifacts_v2/prefix/Math_23_prefix/,.dist/study/artifacts_v2/postfix/Math_23_postfix/
6,S3,"Drift: Prefix CORRECT, Postfix WRONG (oracle hurt)",Math_17,Math,17,https://issues.apache.org/jira/browse/MATH-778,org.apache.commons.math3.dfp.Dfp,Checking,Algorithm/Method,Function/Class/Object,Algorithm/Method,1.0,1.0,0.9,0.9,2,1,3,2,False,False,Checking,Medium-High,correct,incorrect,incorrect,incorrect,`multiply(int x)` previously always called `multiplyFast(x)` (valid only for 0 <= x < RADIX). The fix adds the missing range check `if (x >= 0 && x < RADIX)` with an else branch delegating to `multiply(newInstance(x))`.,Prefix scientific said Checking (correct per the ODC rule for a missing guard plus consequence branch); postfix drifted to Algorithm/Method while its own alternative note says 'while a check is added'. Also shows the snippet-probe false hit (Dfp matched DfpTest).,"The ODC text says Checking stays Checking even when the fix adds a branch; the model's postfix run saw the added check and overrode the rule. Right label in prefix, but for a partly wrong mechanism.",analysis_v2/manual_analysis/bugs/06_S3_Math_17.md,.dist/study/artifacts_v2/prefix/Math_17_prefix/,.dist/study/artifacts_v2/postfix/Math_17_postfix/
7,S4,"Drift: Prefix WRONG, Postfix CORRECT (oracle helped)",Time_3,Time,3,https://github.com/JodaOrg/joda-time/issues/77,org.joda.time.MutableDateTime,Algorithm/Method,Checking,Algorithm/Method,Checking,0.9,1.0,0.9,1.0,2,1,1,0,False,False,Checking,High (see caveat),incorrect,correct,incorrect,correct,"Adds `if (amount != 0) { ... }` guards around `setMillis(...)` in `add(DurationFieldType,int)` and in all 10 `addYears/Months/Weeks/Days/Hours/Minutes/Seconds/Millis/Weekyears` methods. Nothing else changes.",Suggested by the team. Prefix scientific PREDICTED THE EXACT FIX ('do not contain an if (amount == 0) return; guard') yet labeled Algorithm/Method; postfix corrected to Checking. Few-shot drifted identically.,"'Right mechanism, wrong label': in prefix the model classifies by its idea of the root cause (DST side effects) instead of the nature of the fix. Both strategies drift the same way, so the drift is evidence-driven, not strategy-driven.",analysis_v2/manual_analysis/bugs/07_S4_Time_3.md,.dist/study/artifacts_v2/prefix/Time_3_prefix/,.dist/study/artifacts_v2/postfix/Time_3_postfix/
8,S4,"Drift: Prefix WRONG, Postfix CORRECT (oracle helped)",Chart_11,Chart,11,https://sourceforge.net/p/jfreechart/bugs/868,org.jfree.chart.util.ShapeUtilities,Algorithm/Method,Assignment/Initialization,Algorithm/Method,Assignment/Initialization,1.0,1.0,0.9,1.0,5,4,2,1,False,False,Assignment/Initialization,High,incorrect,correct,incorrect,correct,Copy-paste typo: `PathIterator iterator2 = p1.getPathIterator(null);` -> `p2.getPathIterator(null);`.,"Most visual one-token bug. The prefix loop spent 5 turns and 4 probes without ever reaching the buggy class (it isn't in context.json), still concluded with confidence 1.0 (Algorithm/Method). Postfix corrected to Assignment/Initialization.",Evidence starvation: failed experiments did not lower the model's confidence. The loop's value depends entirely on what context.json contains.,analysis_v2/manual_analysis/bugs/08_S4_Chart_11.md,.dist/study/artifacts_v2/prefix/Chart_11_prefix/,.dist/study/artifacts_v2/postfix/Chart_11_postfix/
9,S5,Drift: NEITHER correct,Time_27,Time,27,https://sourceforge.net/p/joda-time/bugs/64,org.joda.time.format.PeriodFormatterBuilder,Algorithm/Method,Relationship,Algorithm/Method,Checking,0.9,1.0,0.8,0.9,3,2,2,1,False,False,Checking,Medium,incorrect,incorrect,incorrect,correct,"In `PeriodFormatterBuilder.toFormatter`, the Separator re-finishing block is wrapped in a new guard `if (sep.iAfterParser == null && sep.iAfterPrinter == null)`, so an already-finished separator (e.g. one coming from `append(ISOPeriodFormat.standard())`) is not re-wrapped.",Prefix scientific hypothesized an integer overflow while noting in the same sentence that the value fits in an int (Algorithm/Method). Postfix saw the guard in the diff and still chose Relationship. Few-shot postfix got Checking.,"Two distinct failure modes in one bug: (1) prefix, a hypothesis contradicted by the model's own arithmetic and never revised; (2) postfix, over-interpreting a plain guard as a structural Relationship defect.",analysis_v2/manual_analysis/bugs/09_S5_Time_27.md,.dist/study/artifacts_v2/prefix/Time_27_prefix/,.dist/study/artifacts_v2/postfix/Time_27_postfix/
10,S5,Drift: NEITHER correct,Lang_20,Lang,20,https://issues.apache.org/jira/browse/LANG-703,org.apache.commons.lang3.StringUtils,Checking,Algorithm/Method,Checking,Algorithm/Method,1.0,1.0,0.9,0.9,1,0,1,0,True,False,Assignment/Initialization,Medium,incorrect,incorrect,incorrect,incorrect,"NPE when an element's `toString()` returns null, thrown inside the StringBuilder capacity estimate `array[startIndex].toString().length()`. The developer did NOT add a null check; the initial capacity became `noOfItems * 16`, removing the dereference.","Scientific said Checking (prefix) then Algorithm/Method (postfix); both reject the fix-accurate reading (the initial-capacity value). Neither run used a probe. Shows that multiple valid fixes imply multiple ODC types, which makes pre-fix classification underdetermined.","The 'obvious' fix (null guard = Checking) is not the fix the developer made (change an initialization = Assignment/Initialization). ODC is fix-based, so the prefix label cannot be verified without the fix.",analysis_v2/manual_analysis/bugs/10_S5_Lang_20.md,.dist/study/artifacts_v2/prefix/Lang_20_prefix/,.dist/study/artifacts_v2/postfix/Lang_20_postfix/
